EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
112,25,23,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
113,25,9,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
114,25,6,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
115,25,2,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
116,25,1,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
117,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
118,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
119,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
120,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
121,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
122,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
123,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
124,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
125,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
126,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
127,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
128,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
129,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
130,25,,modeled,0.994388878,3.979075909,3.94333601,2.009559393,1.271225095
112,26,25,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
114,26,9,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
113,26,8,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
115,26,3,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
116,26,1,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
117,26,1,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
118,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
119,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
120,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
121,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
122,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
123,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
124,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
125,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
126,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
127,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
128,26,,modeled,0.99126184,3.938420057,3.918191671,1.990571856,1.263857603
