pitch_type,ba,ba_STD,obp,obp_STD,slg,slg_STD,ops,ops_STD,woba,woba_STD,wrc_plus,wrc_plus_STD,babip,babip_STD,iso,iso_STD,gdp_pct,gdp_pct_STD,qab,qab_STD,xqab,xqab_STD,hr_fb,hr_fb_STD,stolen_base_pct,stolen_base_pct_STD,groundball_rate,groundball_rate_STD,flyball_rate,flyball_rate_STD,linedrive_rate,linedrive_rate_STD,popup_rate,popup_rate_STD,walk_rate,walk_rate_STD,strikeout_rate,strikeout_rate_STD,k_minus_bb,k_minus_bb_STD,era,era_STD,fip,fip_STD,xfip,xfip_STD,siera,siera_STD,left_on_base,left_on_base_STD,usage_pct,usage_pct_STD,zone_pct,zone_pct_STD,heart_zone_pct,heart_zone_pct_STD,shadow_zone_pct,shadow_zone_pct_STD,chase_zone_pct,chase_zone_pct_STD,waste_zone_pct,waste_zone_pct_STD,swing_pct,swing_pct_STD,z_swing_pct,z_swing_pct_STD,chase_pct,chase_pct_STD,whiff_pct,whiff_pct_STD,z_whiff_pct,z_whiff_pct_STD,contact_pct,contact_pct_STD,z_contact_pct,z_contact_pct_STD,o_contact_pct,o_contact_pct_STD,strike_pct,strike_pct_STD,swinging_strike_pct,swinging_strike_pct_STD,called_strike_pct,called_strike_pct_STD,csw,csw_STD,putaway_pct,putaway_pct_STD,f_strike_pct,f_strike_pct_STD,f_swing_pct,f_swing_pct_STD,velo,velo_STD,velo_90,velo_90_STD,max_velo,max_velo_STD,spin_rate,spin_rate_STD,ivb,ivb_STD,hb_av,hb_av_STD,vaa,vaa_STD,haa_av,haa_av_STD,extension,extension_STD,rel_height,rel_height_STD,rel_side_av,rel_side_av_STD,ev_90,ev_90_STD,max_ev,max_ev_STD,ev,ev_STD,la,la_STD,sweet_spot,sweet_spot_STD,hh_pct,hh_pct_STD,hh_la,hh_la_STD,barrel_pct,barrel_pct_STD,bat_speed,bat_speed_std,heater_velo,heater_velo_STD,heater_ride,heater_ride_STD,heater_run,heater_run_STD,heater_offspeed_velo_diff,heater_offspeed_velo_diff_STD,heater_spin,heater_spin_STD,breaking_spin,breaking_spin_STD,oaa,oaa_STD,high_prob_out_added,high_prob_out_added_STD,mid_prob_out_added,mid_prob_out_added_STD,low_prob_out_added,low_prob_out_added_STD
All Pitches,0.279,0.04,0.383,0.04,0.447,0.11,0.83,0.14,0.381,0.05,100,26.9,0.33,0.05,0.168,0.08,5.7,3.53,0.46,0.06,0.546,0.16962,11.4,7.45,77.8,11.26,42.4,7.41,39.2,7.53,18.4,3.86,7.1,3.36,11.3,3.62,19.5,5.87,8.2,8.07,6.21,1.46,6.24,0.98,6.2,0.84,4.43,0.83,64.7,7.01,100,20.43,48,6.6,32,5.76,29.4,4.9,27.6,4.67,11,4.9,43.3,8.28,66.9,11.58,21.4,8.51,23.8,11.85,16.3,9.98,76.2,11.85,83.7,9.98,54.6,20.85,60.8,6.12,10.3,5.67,17.5,5.81,27.8,6.05,19.3,5.68,57.7,10.34,30,13.11,85.3,3.19,87.5,3.87,89.5,3.69,2186,193.07,8.8,3.79,10.8,3.34,-6.6,0.68,1.8,0.6,5.8,0.47,5.7,0.53,1.8,0.69,100.1,5.12,103.8,6.55,90.7,4.95,13.4,9.94,37.1,12.79,38.3,16.88,13.9,8.23,5.8,8.02,65.97,3.28,89.4,3.0,15.45,4.28,10.78,4.20,7.32,2.47,2183,161.55,2347,238.88,-0.57523,2.30583,-0.0263154,0.051159,0.0509789,0.23928,-0.008654,0.034301
Changeup,0.263,0.11,,,0.415,0.22,,,0.335,0.13,,,0.32,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,3.68,40.8,5.77,26.1,5.35,28.1,5.31,30.1,5.19,15.6,4.37,47.1,7.74,76.3,9.27,27,8.64,32.5,11.43,23.4,11.39,67.5,11.43,76.6,11.39,49.7,18.22,57.7,6.58,15.3,6.01,10.6,4.15,26,6.14,19.6,13.14,54.1,12.5,34.2,14.02,82.6,2.42,83.5,2.84,87.6,1.85,1837,213.95,8.7,4.05,14.9,3.17,-6.8,0.72,1.1,0.38,5.9,0.49,5.5,0.57,1.9,0.71,100.8,5.77,103.9,6.52,90.6,5.22,11.1,9.51,36.6,15.21,36.1,18.68,13.1,6.76,5.2,8.39,,,,,,,,,,,,,,,,,,,,,,
Curveball,0.236,0.13,,,0.367,0.27,,,0.32,0.15,,,0.327,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,1.8,43.9,6.38,29.9,6.08,26.1,5.71,28.3,5.95,15.7,4.97,34.1,8.75,53.5,12.81,18.9,8.83,29.4,12.7,16.7,11.5,70.6,12.7,83.3,11.5,42.6,24.55,55.6,7.08,10,5.16,21.5,6.1,31.5,6.6,21.7,13.48,51.8,12.12,17.4,11.96,76.7,2.8,78.1,2.74,80.8,2.61,2334,269.08,-6,4.72,9.9,4.27,-9,0.87,3,0.96,5.4,0.45,5.7,0.57,1.8,0.72,99.1,4.73,102.3,4.95,89.3,5.94,11.8,12.36,37.3,21.93,31.5,17.42,14.2,10.64,4.6,13.73,,,,,,,,,,,,,,,,,,,,,,
Cutter,0.269,0.2,,,0.421,0.43,,,0.35,0.2,,,0.316,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.48,48.9,5.08,32,4.79,31.1,4.71,26.4,5.45,10.4,2.24,47.9,5.24,70.7,8.37,26.2,7.56,27.2,13.22,18.3,8.76,72.8,13.22,81.7,8.76,50,28.67,63.8,5.74,13,7.2,15.9,6.33,28.9,7.83,19.7,16.55,60.6,15.78,34.6,20.79,87.5,1.83,89.1,1.71,91.4,1.79,2313,178.59,12.2,3.14,2.9,1.65,-6,0.58,2.1,0.73,6,0.5,5.9,0.42,1.6,0.7,100.8,5.59,104.1,8.29,89.8,7.35,12.5,13.1,36.3,18.48,37.6,23.87,13,9.44,5.4,5.23,,,,,,,,,,,,,,,,,,,,,,
Fastball,0.303,0.08,,,0.491,0.17,,,0.419,0.09,,,0.335,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,5.97,51.6,4,34.5,4.02,30.8,3.89,26.6,3.41,8.1,2.31,44.1,6.31,68,7.95,18.7,6.51,17.8,7.93,14,7.57,82.2,7.93,86,7.57,67.3,15.68,62.5,4.27,7.9,3.88,18.4,4.43,26.3,4.72,17.2,10.64,59.6,7.51,32.5,10.49,90.4,2.36,91.2,2.26,93.6,2.43,2234,138.59,18.1,2.28,8.9,2.84,-5.2,0.5,1.2,0.45,6,0.46,5.9,0.41,1.5,0.63,101.6,4.89,104.6,5.94,91.6,5.19,18.4,13.17,38.4,16.02,43.1,20.62,15.8,9.8,7.2,12.32,,,,,,,,,,,,,,,,,,,,,,
Slider,0.242,0.09,,,0.386,0.18,,,0.323,0.1,,,0.32,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,5.05,44.3,4.92,29.5,4.72,27.7,4.47,28.7,4.46,14.2,3.58,41.8,7.86,63.6,10.24,24.5,8.26,32.1,10.61,18.9,9.46,67.9,10.61,81.1,9.46,40.7,16.96,59.6,5.6,13.4,5.3,17.7,4.92,31.2,5.63,22.1,11.31,56.4,9.72,26.3,11.97,81.8,2.47,83.3,2.42,86.7,2.69,2369,219.78,2.8,3.01,6.5,3.99,-7.6,0.68,3,0.9,5.5,0.45,5.7,0.51,1.9,0.68,99.8,5.59,103.1,8.29,89.3,7.35,14.6,13.1,37.9,18.48,33.1,23.87,15.1,9.44,5.2,8.91,,,,,,,,,,,,,,,,,,,,,,
Sinker,0.303,0.08,,,0.491,0.17,,,0.419,0.09,,,0.335,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,5.97,51.6,4,34.5,4.02,30.8,3.89,26.6,3.41,8.1,2.31,44.1,6.31,68,7.95,18.7,6.51,17.8,7.93,14,7.57,82.2,7.93,86,7.57,67.3,15.68,62.5,4.27,7.9,3.88,18.4,4.43,26.3,4.72,17.2,10.64,59.6,7.51,32.5,10.49,90,1.84,90.8,1.96,93.1,2.11,2168,129.59,11.2,3.75,16.1,1.97,-5.7,0.55,1.1,0.38,5.8,0.47,5.5,0.5,2,0.67,101.6,3.82,104.6,5.29,91.8,4.64,8,10.07,34.8,11.5,42.2,19.01,10.6,8.28,5.4,5.23,,,,,,,,,,,,,,,,,,,,,,
Splitter,0.263,0.11,,,0.415,0.22,,,0.335,0.13,,,0.32,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,3.68,40.8,5.77,26.1,5.35,28.1,5.31,30.1,5.19,15.6,4.37,47.1,7.74,76.3,9.27,27,8.64,32.5,11.43,23.4,11.39,67.5,11.43,76.6,11.39,49.7,18.22,57.7,6.58,15.3,6.01,10.6,4.15,26,6.14,19.6,13.14,54.1,12.5,34.2,14.02,81.8,2.67,82.5,2.4,84.3,2.55,1136,290.35,4.1,5.23,9.2,3.45,-7.7,0.84,1.2,0.35,5.7,0.42,5.8,0.46,1.7,0.59,99.1,5.77,103.4,6.52,90.3,5.22,12.9,9.51,36.3,15.21,33.5,18.68,14.6,6.76,5.7,8.39,,,,,,,,,,,,,,,,,,,,,,


