EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
100,32,115,empirical,0.591304348,2.32173913,2.32173913,1.155667557,0.62147652
100,27,169,empirical,0.621301775,2.230769231,2.230769231,1.145563272,0.613368271
100,28,151,empirical,0.609271523,2.178807947,2.17218543,1.120744328,0.593452149
100,31,115,empirical,0.582608696,2.217391304,2.217391304,1.116016224,0.589658051
100,29,147,empirical,0.578231293,2.12244898,2.12244898,1.08140568,0.561884596
100,33,93,empirical,0.537634409,2.075268817,2.075268817,1.038647607,0.527573103
82,15,50,empirical,0.98,1.28,0.58,1.026914898,0.518158115
90,13,100,empirical,0.98,1.19,0.4,0.991909555,0.49006785
99,29,158,empirical,0.537974684,1.930379747,1.924050633,0.99148308,0.489725623
100,26,173,empirical,0.543352601,1.884393064,1.884393064,0.980162432,0.480641296
100,12,211,empirical,0.957345972,1.180094787,0.431279621,0.975999881,0.47730103
97,12,207,empirical,0.971014493,1.154589372,0.347826087,0.973301774,0.475135917
84,14,56,empirical,1,1.107142857,0.214285714,0.971142911,0.473403523
95,13,179,empirical,0.955307263,1.167597765,0.413407821,0.970136187,0.47259567
85,16,68,empirical,0.970588235,1.132352941,0.323529412,0.965050635,0.468514736
96,13,195,empirical,0.938461538,1.179487179,0.441025641,0.964684772,0.468221147
100,24,196,empirical,0.576530612,1.770408163,1.760204082,0.964447697,0.468030905
80,18,53,empirical,0.981132075,1.113207547,0.264150943,0.963303241,0.467112529
99,28,185,empirical,0.524324324,1.87027027,1.864864865,0.962434929,0.466415746
99,12,200,empirical,0.92,1.19,0.52,0.959478257,0.464043146
82,17,59,empirical,0.983050847,1.101694915,0.220338983,0.959311657,0.463909456
100,11,218,empirical,0.949541284,1.146788991,0.376146789,0.958692789,0.463412841
99,27,161,empirical,0.527950311,1.844720497,1.838509317,0.956634016,0.461760766
100,30,143,empirical,0.517482517,1.86013986,1.86013986,0.95455565,0.460092968
93,13,128,empirical,0.9453125,1.140625,0.375,0.954098092,0.459725798
79,17,50,empirical,1,1.06,0.12,0.952806779,0.458689575
86,15,57,empirical,0.964912281,1.105263158,0.280701754,0.951446135,0.457597717
96,12,168,empirical,0.946428571,1.130952381,0.351190476,0.950866653,0.457132708
84,15,66,empirical,0.984848485,1.075757576,0.181818182,0.950745939,0.457035841
86,14,79,empirical,0.962025316,1.101265823,0.253164557,0.947508043,0.45443757
84,16,60,empirical,0.983333333,1.066666667,0.166666667,0.946391074,0.453541251
87,14,90,empirical,0.966666667,1.088888889,0.244444444,0.946025675,0.453248034
99,26,181,empirical,0.546961326,1.767955801,1.756906077,0.943771739,0.451439348
91,13,102,empirical,0.941176471,1.117647059,0.352941176,0.943433113,0.451167616
90,15,135,empirical,0.940740741,1.111111111,0.333333333,0.940414681,0.448745455
85,14,68,empirical,0.955882353,1.088235294,0.264705882,0.939942306,0.448366395
91,14,121,empirical,0.94214876,1.107438017,0.314049587,0.939450623,0.447971841
79,18,54,empirical,0.962962963,1.074074074,0.222222222,0.938261546,0.447017659
88,14,79,empirical,0.949367089,1.088607595,0.265822785,0.936154036,0.445326473
98,12,215,empirical,0.920930233,1.125581395,0.4,0.935273274,0.4446197
93,12,148,empirical,0.925675676,1.114864865,0.378378378,0.933972469,0.44357586
