pitch_type,ba,ba_STD,obp,obp_STD,slg,slg_STD,ops,ops_STD,woba,woba_STD,wobacon,wobacon_STD,wrc_plus,wrc_plus_STD,babip,babip_STD,iso,iso_STD,gdp_pct,gdp_pct_STD,qab,qab_STD,xqab,xqab_STD,hr_fb,hr_fb_STD,stolen_base_pct,stolen_base_pct_STD,groundball_rate,groundball_rate_STD,flyball_rate,flyball_rate_STD,linedrive_rate,linedrive_rate_STD,popup_rate,popup_rate_STD,bunt_rate,bunt_rate_STD,pull_air_rate,pull_air_rate_STD,bapp,bapp_DTS,walk_rate,walk_rate_STD,strikeout_rate,strikeout_rate_STD,k_minus_bb,k_minus_bb_STD,k_to_bb,k_to_bb_STD,era,era_STD,fip,fip_STD,xfip,xfip_STD,siera,siera_STD,left_on_base,left_on_base_STD,take_1k,take_1k_STD,pitches_per_pa,pitches_per_pa_STD,speed_score,speed_score_STD,usage_pct,usage_pct_STD,zone_pct,zone_pct_STD,heart_zone_pct,heart_zone_pct_STD,shadow_zone_pct,shadow_zone_pct_STD,chase_zone_pct,chase_zone_pct_STD,waste_zone_pct,waste_zone_pct_STD,swing_pct,swing_pct_STD,z_swing_pct,z_swing_pct_STD,chase_pct,chase_pct_STD,whiff_pct,whiff_pct_STD,z_whiff_pct,z_whiff_pct_STD,contact_pct,contact_pct_STD,z_contact_pct,z_contact_pct_STD,o_contact_pct,o_contact_pct_STD,strike_pct,strike_pct_STD,swinging_strike_pct,swinging_strike_pct_STD,called_strike_pct,called_strike_pct_STD,csw,csw_STD,putaway_pct,putaway_pct_STD,f_strike_pct,f_strike_pct_STD,f_swing_pct,f_swing_pct_STD,velo,velo_STD,velo_90,velo_90_STD,max_velo,max_velo_STD,min_velo,min_velo_STD,spin_rate,spin_rate_STD,ivb,ivb_STD,hb_av,hb_av_STD,vaa,vaa_STD,haa_av,haa_av_STD,extension,extension_STD,rel_height,rel_height_STD,rel_side_av,rel_side_av_STD,ev_90,ev_90_STD,air_ev,air_ev_STD,max_ev,max_ev_STD,ev,ev_STD,la,la_STD,sweet_spot,sweet_spot_STD,hh_pct,hh_pct_STD,hh_la,hh_la_STD,barrel_pct,barrel_pct_STD
All Pitches,0.271,0.06,0.351,0.06,0.4,0.13,0.751,0.18,0.35,0.08,0.371,0.1,100,40.53,0.303,0.06,0.129,0.09,2.2,2.68,0.444,0.07,0.555,0.197,7.7,7.12,82.5,10.31,45.2,11.12,37.8,10.96,17,4.3,10.9,4.93,3.3,3.71,45.2,12.92,0.492,0.15,9.2,4.21,14.6,5.81,5.4,7.86,1.6,2.3,4.83,1.42,3.77,1.11,3.8,0.92,4.91,1.05,65.4,8.36,43.6,13.8,3.77,0.72,5.15,2.07,100,8.59,48.4,9.67,30,8.27,32.9,6.8,29.9,7.46,7.3,4.88,45.7,9.92,69.6,12.28,23.3,10.14,16.7,9.96,11.4,8.64,83.3,9.96,88.6,8.64,68.3,20.05,61.6,9,7.6,4.76,15.9,7.06,23.6,7.1,14.5,5,57.5,13.66,32.4,15.14,64.1,2.8,66,2.82,68.2,2.71,62,3.41,1419,188.07,0.0,3.96,3.6,1.51,-3.5,0.9,1.6,0.49,5.4,0.52,1.7,0.22,0.6,0.29,65.6,8.06,62.2,9.64,65.9,3.88,61.8,9.01,11.2,21.88,35.5,30.64,41.3,33,11.4,17.66,6.1,13.25
Changeup,0.241,0.12,,,0.342,0.22,,,0.305,0.14,0.355,0.17,,,0.302,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,2.86,45.3,6.59,31.1,6.14,26.3,5.66,28.8,5.72,13.8,4.64,40.3,9.05,61.5,11.99,22.7,9.24,25.1,11.75,16.6,10.69,74.9,11.75,83.4,10.69,55.8,22.35,58.1,7.15,10.1,5.15,17.9,5.68,28,6.82,18.6,12.11,52.6,12.99,23.7,13.42,55,3.83,61.4,4.16,63.2,3.74,57.4,3.61,1231,206.36,-2.9,2.97,5.3,1.32,-6.0,1.41,1.7,0.5,5.3,0.54,1.7,0.15,0.6,0.18,67,2.84,60.8,9.84,67.8,2.62,60.2,10.59,12.4,23.48,37.4,40.32,32.9,39.31,11.1,15.12,4.5,14.82
Curveball,0.289,0.1,,,0.436,0.2,,,0.365,0.12,0.387,0.15,,,0.312,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,7.83,54.5,7.35,34.3,7.06,35.1,5.37,26.6,5.83,4.1,2.28,48.3,8.91,68.4,9.91,24.2,9.56,15,8.01,11.4,7.56,85,8.01,88.6,7.56,73.1,16.95,67.1,6.27,7.2,4.23,18.8,5.67,26,5.72,14.4,12.01,64.1,10.13,34.8,14.42,65.1,2.23,65.8,2.13,67.8,2.6,60.8,2.84,1466,208.27,3.0,3.16,4.5,1.88,-2.7,0.51,2.2,0.57,5.5,0.56,1.8,0.26,0.7,0.34,67,7.35,61.5,8.96,69.1,7.26,61.3,10.09,18.7,19.74,45.1,41.21,42.9,41.52,12.8,14.72,6.5,17.66
Drop-Curve,0.289,0.1,,,0.436,0.2,,,0.365,0.12,0.387,0.15,,,0.312,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,7.83,54.5,7.35,34.3,7.06,35.1,5.37,26.6,5.83,4.1,2.28,48.3,8.91,68.4,9.91,24.2,9.56,15,8.01,11.4,7.56,85,8.01,88.6,7.56,73.1,16.95,67.1,6.27,7.2,4.23,18.8,5.67,26,5.72,14.4,12.01,64.1,10.13,34.8,14.42,66.9,3.54,62.6,2.5,72.6,2.6,67.3,2.84,1474,306.7,-8.6,2.88,2.5,1.19,-4.9,0.54,1.3,0.38,5.6,0.33,2.1,0.2,0.2,0.25,61.6,11.22,62.3,9.41,62.6,10.89,61.1,11.07,6.4,24.94,34.6,45.59,50,49.79,2.7,29.1,3.9,20.83
Dropball,0.283,0.11,,,0.396,0.21,,,0.359,0.13,0.361,0.15,,,0.311,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,4.23,45.4,6.71,28.7,6.01,31,5.86,30.6,5.77,9.6,3.95,42.4,8.39,69.1,10.35,20.3,8.52,15.5,8.11,9.2,7.02,84.5,8.11,90.8,7.02,66.8,19.7,57.1,7.09,6.6,3.85,14.6,5.03,21.2,5.42,13.1,12.51,51.5,12.11,29,13.43,67.8,3.27,67.8,3.1,69.8,3.23,62.9,5.27,1307,169.47,-6.1,2.65,2.8,1.69,-4.6,0.69,1.6,0.47,5.3,0.51,1.8,0.24,0.6,0.36,73.3,4.94,64.7,9.83,73.7,4.54,64.4,9.17,-0.8,24.62,29.5,34.49,45.2,37.67,4.3,21.54,5.8,16.69
Fastball,0.303,0.13,,,0.451,0.3,,,0.396,0.16,0.396,0.19,,,0.322,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.2,57,10.18,37.8,8.69,32.6,7.58,24.8,8.16,4.8,4.32,46.2,10.49,67.1,10.73,18.5,9.46,13.9,7.8,10.8,7.22,86.1,7.8,89.2,7.22,71.1,24.9,66,9.81,6.4,3.53,19.8,5.9,26.2,6.11,13.8,11.87,62.4,14.3,34.6,14.76,65.3,3.75,67.4,2.75,69,3.02,61.3,0.45,1338,295,0.6,3.8,3.6,0.75,-2.8,0.55,1.4,0.05,5.6,0.25,1.7,0.25,0.6,0.15,60.6,12.22,62.9,8.65,63.5,11.98,62.9,11.32,11.6,26.79,34.3,41.78,41.6,45.7,14,20.75,8,24.81
Offspeed,0.241,0.12,,,0.342,0.22,,,0.305,0.14,0.355,0.17,,,0.302,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,2.86,45.3,6.59,31.1,6.14,26.3,5.66,28.8,5.72,13.8,4.64,40.3,9.05,61.5,11.99,22.7,9.24,25.1,11.75,16.6,10.69,74.9,11.75,83.4,10.69,55.8,22.35,58.1,7.15,10.1,5.15,17.9,5.68,28,6.82,18.6,12.11,52.6,12.99,23.7,13.42,57.8,2.34,58.1,2.32,62,1.5,58.1,2.5,1436,338.77,3.0,7.37,3.8,1.66,-4.6,1.22,2.3,0.57,5.4,0.61,1.8,0.14,0.8,0.34,59.9,11.5,61.3,9.55,60.8,10.27,59.7,10.39,10.8,24.86,42.4,46.99,18.2,38.84,12.1,27.18,3,18.89
Riseball,0.229,0.12,,,0.376,0.26,,,0.333,0.15,0.355,0.18,,,0.261,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3.71,38.9,7.26,22.1,5.97,31.6,6.28,37.3,6.79,9,3.94,49.3,9.8,82.1,9.1,28.4,11.3,20.5,10.72,13.1,9.46,79.5,10.72,86.9,9.46,65.7,18.63,56.3,9.22,10.1,5.48,7,3.58,17.1,5.85,14.1,10.99,50.7,14.22,38,15.48,65.1,3.92,66.1,3.85,68.7,2.8,62.1,3.71,1626,265.35,7.0,3.44,2.9,1.96,-1.5,0.62,1.3,0.45,5.4,0.49,1.7,0.27,0.6,0.32,71.9,2.75,60.8,7.04,72.1,4.7,60.2,10,24.8,21.58,36.6,39.1,39.5,40.06,23.1,16.74,7.6,17.82
Screwball,0.283,0.12,,,0.413,0.25,,,0.369,0.14,0.369,0.17,,,0.307,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,7.23,50.7,9.65,29.1,8.91,37.3,6.51,29.2,7.24,4.4,2.81,44.4,9.98,68.2,11.04,20,9.11,12.1,8.39,8.8,7.55,87.9,8.39,91.2,7.55,76.3,19.46,63.8,7.91,5.4,3.73,19.4,6.22,24.8,6.39,12.6,12.3,59.7,12.11,31.7,14.61,66.2,2,66.2,1.79,68.3,1.46,64.7,1.38,1436,269.96,1.2,3.1,3.6,1.97,-2.9,0.79,1.1,0.36,5.5,0.62,1.6,0.22,0.3,0.25,63.3,10.49,64.2,9.3,65.3,9.86,64.6,9.83,6.7,26,28.1,43.86,51.6,49.03,10.6,18.34,3.1,19.23

